code,MC1_seed=1,MC1_seed=2
0,-0.020845346,-0.02060208
1,-0.020844752,-0.020601539
2,-0.020843969,-0.020600874
3,-0.020843375,-0.020600333
4,-0.020842613,-0.020599708
5,-0.020842018,-0.020599166
6,-0.020841236,-0.020598501
7,-0.020840641,-0.02059796
8,-0.020840087,-0.020597091
9,-0.020839492,-0.02059655
10,-0.02083871,-0.020595885
11,-0.020838115,-0.020595343
12,-0.020837353,-0.020594718
13,-0.020836758,-0.020594177
14,-0.020835976,-0.020593512
15,-0.020835381,-0.02059297
16,-0.020835586,-0.020591395
17,-0.020834991,-0.020590854
18,-0.020834208,-0.020590189
19,-0.020833614,-0.020589647
20,-0.020832852,-0.020589022
21,-0.020832257,-0.020588481
22,-0.020831475,-0.020587816
23,-0.02083088,-0.020587274
24,-0.020830326,-0.020586406
25,-0.020829731,-0.020585865
26,-0.020828949,-0.020585199
27,-0.020828354,-0.020584658
28,-0.020827592,-0.020584033
29,-0.020826997,-0.020583492
30,-0.020826215,-0.020582826
31,-0.02082562,-0.020582285
32,-0.020828734,-0.020584506
33,-0.02082814,-0.020583965
34,-0.020827357,-0.020583299
35,-0.020826763,-0.020582758
36,-0.020826,-0.020582133
37,-0.020825406,-0.020581592
38,-0.020824623,-0.020580926
39,-0.020824029,-0.020580385
40,-0.020823474,-0.020579517
41,-0.02082288,-0.020578976
42,-0.020822097,-0.02057831
43,-0.020821503,-0.020577769
44,-0.020820741,-0.020577144
45,-0.020820146,-0.020576602
46,-0.020819363,-0.020575937
47,-0.020818769,-0.020575396
48,-0.020818973,-0.020573821
49,-0.020818379,-0.02057328
50,-0.020817596,-0.020572614
51,-0.020817002,-0.020572073
52,-0.020816239,-0.020571448
53,-0.020815645,-0.020570906
54,-0.020814862,-0.020570241
55,-0.020814268,-0.0205697
56,-0.020813713,-0.020568832
57,-0.020813119,-0.02056829
58,-0.020812336,-0.020567625
59,-0.020811742,-0.020567084
60,-0.02081098,-0.020566459
61,-0.020810385,-0.020565917
62,-0.020809602,-0.020565252
63,-0.020809008,-0.02056471
64,-0.020802839,-0.020563448
65,-0.020802245,-0.020562907
66,-0.020801462,-0.020562241
67,-0.020800868,-0.0205617
68,-0.020800105,-0.020561075
69,-0.020799511,-0.020560533
70,-0.020798728,-0.020559868
71,-0.020798134,-0.020559327
72,-0.020797579,-0.020558459
73,-0.020796985,-0.020557917
74,-0.020796202,-0.020557252
75,-0.020795608,-0.02055671
76,-0.020794846,-0.020556085
77,-0.020794251,-0.020555544
78,-0.020793469,-0.020554879
79,-0.020792874,-0.020554337
80,-0.020793078,-0.020552763
81,-0.020792484,-0.020552221
82,-0.020791701,-0.020551556
83,-0.020791107,-0.020551014
84,-0.020790344,-0.020550389
85,-0.02078975,-0.020549848
86,-0.020788967,-0.020549183
87,-0.020788373,-0.020548641
88,-0.020787818,-0.020547773
89,-0.020787224,-0.020547232
90,-0.020786441,-0.020546566
91,-0.020785847,-0.020546025
92,-0.020785085,-0.0205454
93,-0.02078449,-0.020544859
94,-0.020783708,-0.020544193
95,-0.020783113,-0.020543652
96,-0.020786227,-0.020545873
97,-0.020785633,-0.020545332
98,-0.02078485,-0.020544666
99,-0.020784256,-0.020544125
100,-0.020783493,-0.0205435
101,-0.020782899,-0.020542959
102,-0.020782116,-0.020542293
103,-0.020781522,-0.020541752
104,-0.020780967,-0.020540884
105,-0.020780373,-0.020540343
106,-0.02077959,-0.020539677
107,-0.020778996,-0.020539136
108,-0.020778233,-0.020538511
109,-0.020777639,-0.02053797
110,-0.020776856,-0.020537304
111,-0.020776262,-0.020536763
112,-0.020776466,-0.020535188
113,-0.020775872,-0.020534647
114,-0.020775089,-0.020533981
115,-0.020774495,-0.02053344
116,-0.020773732,-0.020532815
117,-0.020773138,-0.020532274
118,-0.020772355,-0.020531608
119,-0.020771761,-0.020531067
120,-0.020771206,-0.020530199
121,-0.020770612,-0.020529657
122,-0.020769829,-0.020528992
123,-0.020769235,-0.020528451
124,-0.020768472,-0.020527826
125,-0.020767878,-0.020527284
126,-0.020767095,-0.020526619
127,-0.020766501,-0.020526078
128,-0.020771235,-0.020526381
129,-0.02077064,-0.020525839
130,-0.020769858,-0.020525174
131,-0.020769263,-0.020524633
132,-0.020768501,-0.020524008
133,-0.020767906,-0.020523466
134,-0.020767124,-0.020522801
135,-0.020766529,-0.02052226
136,-0.020765975,-0.020521391
137,-0.02076538,-0.02052085
138,-0.020764598,-0.020520185
139,-0.020764003,-0.020519643
140,-0.020763241,-0.020519018
141,-0.020762646,-0.020518477
142,-0.020761864,-0.020517812
143,-0.020761269,-0.02051727
144,-0.020761474,-0.020515695
145,-0.020760879,-0.020515154
146,-0.020760097,-0.020514489
147,-0.020759502,-0.020513947
148,-0.02075874,-0.020513322
149,-0.020758145,-0.020512781
150,-0.020757363,-0.020512116
151,-0.020756768,-0.020511574
152,-0.020756214,-0.020510706
153,-0.020755619,-0.020510165
154,-0.020754837,-0.020509499
155,-0.020754242,-0.020508958
156,-0.02075348,-0.020508333
157,-0.020752885,-0.020507792
158,-0.020752103,-0.020507126
159,-0.020751508,-0.020506585
160,-0.020754622,-0.020508806
161,-0.020754028,-0.020508265
162,-0.020753245,-0.020507599
163,-0.020752651,-0.020507058
164,-0.020751889,-0.020506433
165,-0.020751294,-0.020505892
166,-0.020750512,-0.020505226
167,-0.020749917,-0.020504685
168,-0.020749363,-0.020503817
169,-0.020748768,-0.020503276
170,-0.020747986,-0.02050261
171,-0.020747391,-0.020502069
172,-0.020746629,-0.020501444
173,-0.020746034,-0.020500902
174,-0.020745252,-0.020500237
175,-0.020744657,-0.020499696
176,-0.020744861,-0.020498121
177,-0.020744267,-0.02049758
178,-0.020743484,-0.020496914
179,-0.02074289,-0.020496373
180,-0.020742128,-0.020495748
181,-0.020741533,-0.020495206
182,-0.020740751,-0.020494541
183,-0.020740156,-0.020494
184,-0.020739602,-0.020493132
185,-0.020739007,-0.02049259
186,-0.020738225,-0.020491925
187,-0.02073763,-0.020491383
188,-0.020736868,-0.020490758
189,-0.020736273,-0.020490217
190,-0.020735491,-0.020489552
191,-0.020734896,-0.02048901
192,-0.020728728,-0.020487748
193,-0.020728133,-0.020487206
194,-0.02072735,-0.020486541
195,-0.020726756,-0.020486
196,-0.020725994,-0.020485375
197,-0.020725399,-0.020484833
198,-0.020724617,-0.020484168
199,-0.020724022,-0.020483627
200,-0.020723468,-0.020482758
201,-0.020722873,-0.020482217
202,-0.020722091,-0.020481552
203,-0.020721496,-0.02048101
204,-0.020720734,-0.020480385
205,-0.020720139,-0.020479844
206,-0.020719357,-0.020479179
207,-0.020718762,-0.020478637
208,-0.020718967,-0.020477062
209,-0.020718372,-0.020476521
210,-0.020717589,-0.020475856
211,-0.020716995,-0.020475314
212,-0.020716233,-0.020474689
213,-0.020715638,-0.020474148
214,-0.020714856,-0.020473483
215,-0.020714261,-0.020472941
216,-0.020713707,-0.020472073
217,-0.020713112,-0.020471532
218,-0.02071233,-0.020470866
219,-0.020711735,-0.020470325
220,-0.020710973,-0.0204697
221,-0.020710378,-0.020469159
222,-0.020709596,-0.020468493
223,-0.020709001,-0.020467952
224,-0.020712115,-0.020470173
225,-0.020711521,-0.020469632
226,-0.020710738,-0.020468966
227,-0.020710144,-0.020468425
228,-0.020709381,-0.0204678
229,-0.020708787,-0.020467259
230,-0.020708004,-0.020466593
231,-0.02070741,-0.020466052
232,-0.020706855,-0.020465184
233,-0.020706261,-0.020464643
234,-0.020705478,-0.020463977
235,-0.020704884,-0.020463436
236,-0.020704122,-0.020462811
237,-0.020703527,-0.02046227
238,-0.020702744,-0.020461604
239,-0.02070215,-0.020461063
240,-0.020702354,-0.020459488
241,-0.02070176,-0.020458947
242,-0.020700977,-0.020458281
243,-0.020700383,-0.02045774
244,-0.02069962,-0.020457115
245,-0.020699026,-0.020456574
246,-0.020698243,-0.020455908
247,-0.020697649,-0.020455367
248,-0.020697094,-0.020454499
249,-0.0206965,-0.020453957
250,-0.020695717,-0.020453292
251,-0.020695123,-0.020452751
252,-0.020694361,-0.020452126
253,-0.020693766,-0.020451584
254,-0.020692983,-0.020450919
255,-0.020692389,-0.020450378
256,-0.020685123,-0.020441234
257,-0.020684529,-0.020440693
258,-0.020683746,-0.020440027
259,-0.020683152,-0.020439486
260,-0.020682389,-0.020438861
261,-0.020681795,-0.02043832
262,-0.020681012,-0.020437654
263,-0.020680418,-0.020437113
264,-0.020679863,-0.020436245
265,-0.020679269,-0.020435703
266,-0.020678486,-0.020435038
267,-0.020677892,-0.020434497
268,-0.020677129,-0.020433872
269,-0.020676535,-0.02043333
270,-0.020675752,-0.020432665
271,-0.020675158,-0.020432124
272,-0.020675362,-0.020430549
273,-0.020674768,-0.020430007
274,-0.020673985,-0.020429342
275,-0.020673391,-0.020428801
276,-0.020672628,-0.020428176
277,-0.020672034,-0.020427634
278,-0.020671251,-0.020426969
279,-0.020670657,-0.020426428
280,-0.020670102,-0.020425559
281,-0.020669508,-0.020425018
282,-0.020668725,-0.020424353
283,-0.020668131,-0.020423811
284,-0.020667368,-0.020423186
285,-0.020666774,-0.020422645
286,-0.020665991,-0.02042198
287,-0.020665397,-0.020421438
288,-0.020668511,-0.020423659
289,-0.020667916,-0.020423118
290,-0.020667134,-0.020422453
291,-0.020666539,-0.020421911
292,-0.020665777,-0.020421286
293,-0.020665183,-0.020420745
294,-0.0206644,-0.02042008
295,-0.020663805,-0.020419538
296,-0.020663251,-0.02041867
297,-0.020662657,-0.020418129
298,-0.020661874,-0.020417463
299,-0.020661279,-0.020416922
300,-0.020660517,-0.020416297
301,-0.020659923,-0.020415756
302,-0.02065914,-0.02041509
303,-0.020658546,-0.020414549
304,-0.02065875,-0.020412974
305,-0.020658155,-0.020412433
306,-0.020657373,-0.020411767
307,-0.020656778,-0.020411226
308,-0.020656016,-0.020410601
309,-0.020655422,-0.02041006
310,-0.020654639,-0.020409394
311,-0.020654044,-0.020408853
312,-0.02065349,-0.020407985
313,-0.020652896,-0.020407444
314,-0.020652113,-0.020406778
315,-0.020651518,-0.020406237
316,-0.020650756,-0.020405612
317,-0.020650162,-0.020405071
318,-0.020649379,-0.020404405
319,-0.020648785,-0.020403864
320,-0.020642616,-0.020402601
321,-0.020642021,-0.02040206
322,-0.020641239,-0.020401394
323,-0.020640644,-0.020400853
324,-0.020639882,-0.020400228
325,-0.020639288,-0.020399687
326,-0.020638505,-0.020399021
327,-0.020637911,-0.02039848
328,-0.020637356,-0.020397612
329,-0.020636762,-0.020397071
330,-0.020635979,-0.020396405
331,-0.020635384,-0.020395864
332,-0.020634622,-0.020395239
333,-0.020634028,-0.020394698
334,-0.020633245,-0.020394032
335,-0.020632651,-0.020393491
336,-0.020632855,-0.020391916
337,-0.02063226,-0.020391375
338,-0.020631478,-0.020390709
339,-0.020630883,-0.020390168
340,-0.020630121,-0.020389543
341,-0.020629527,-0.020389002
342,-0.020628744,-0.020388336
343,-0.02062815,-0.020387795
344,-0.020627595,-0.020386927
345,-0.020627001,-0.020386385
346,-0.020626218,-0.02038572
347,-0.020625623,-0.020385179
348,-0.020624861,-0.020384554
349,-0.020624267,-0.020384012
350,-0.020623484,-0.020383347
351,-0.02062289,-0.020382806
352,-0.020626004,-0.020385027
353,-0.020625409,-0.020384485
354,-0.020624627,-0.02038382
355,-0.020624032,-0.020383278
356,-0.02062327,-0.020382653
357,-0.020622675,-0.020382112
358,-0.020621893,-0.020381447
359,-0.020621298,-0.020380905
360,-0.020620744,-0.020380037
361,-0.020620149,-0.020379496
362,-0.020619367,-0.02037883
363,-0.020618772,-0.020378289
