code,MC1_seed=1,MC1_seed=2
0,-0.02288369,-0.022337035
1,-0.022883028,-0.022336309
2,-0.022882319,-0.022335752
3,-0.022881658,-0.022335025
4,-0.022881012,-0.02233413
5,-0.02288035,-0.022333402
6,-0.022879641,-0.022332845
7,-0.02287898,-0.022332118
8,-0.022878178,-0.022331239
9,-0.022877516,-0.022330512
10,-0.022876808,-0.022329955
11,-0.022876146,-0.022329227
12,-0.0228755,-0.022328332
13,-0.022874838,-0.022327605
14,-0.022874129,-0.022327048
15,-0.022873468,-0.02232632
16,-0.022873855,-0.022326785
17,-0.022873194,-0.022326058
18,-0.022872485,-0.022325501
19,-0.022871824,-0.022324773
20,-0.022871177,-0.022323878
21,-0.022870516,-0.022323151
22,-0.022869807,-0.022322594
23,-0.022869146,-0.022321866
24,-0.022868343,-0.022320988
25,-0.022867682,-0.02232026
26,-0.022866973,-0.022319703
27,-0.022866312,-0.022318975
28,-0.022865665,-0.022318081
29,-0.022865004,-0.022317353
30,-0.022864295,-0.022316796
31,-0.022863634,-0.022316068
32,-0.022861875,-0.022318962
33,-0.022861214,-0.022318234
34,-0.022860505,-0.022317677
35,-0.022859844,-0.02231695
36,-0.022859197,-0.022316055
37,-0.022858536,-0.022315327
38,-0.022857827,-0.02231477
39,-0.022857165,-0.022314043
40,-0.022856363,-0.022313164
41,-0.022855702,-0.022312437
42,-0.022854993,-0.02231188
43,-0.022854332,-0.022311152
44,-0.022853685,-0.022310257
45,-0.022853024,-0.02230953
46,-0.022852315,-0.022308973
47,-0.022851654,-0.022308245
48,-0.022852041,-0.02230871
49,-0.022851379,-0.022307983
50,-0.022850671,-0.022307426
51,-0.022850009,-0.022306698
52,-0.022849363,-0.022305803
53,-0.022848701,-0.022305076
54,-0.022847992,-0.022304519
55,-0.022847331,-0.022303791
56,-0.022846529,-0.022302913
57,-0.022845868,-0.022302185
58,-0.022845159,-0.022301628
59,-0.022844497,-0.0223009
60,-0.022843851,-0.022300006
61,-0.022843189,-0.022299278
62,-0.02284248,-0.022298721
63,-0.022841819,-0.022297993
64,-0.022842264,-0.02229467
65,-0.022841602,-0.022293942
66,-0.022840893,-0.022293385
67,-0.022840232,-0.022292657
68,-0.022839586,-0.022291763
69,-0.022838924,-0.022291035
70,-0.022838215,-0.022290478
71,-0.022837554,-0.02228975
72,-0.022836752,-0.022288872
73,-0.02283609,-0.022288144
74,-0.022835382,-0.022287587
75,-0.02283472,-0.022286859
76,-0.022834074,-0.022285965
77,-0.022833412,-0.022285237
78,-0.022832703,-0.02228468
79,-0.022832042,-0.022283952
80,-0.022832429,-0.022284418
81,-0.022831768,-0.02228369
82,-0.022831059,-0.022283133
83,-0.022830398,-0.022282405
84,-0.022829751,-0.022281511
85,-0.02282909,-0.022280783
86,-0.022828381,-0.022280226
87,-0.02282772,-0.022279499
88,-0.022826917,-0.02227862
89,-0.022826256,-0.022277892
90,-0.022825547,-0.022277335
91,-0.022824886,-0.022276608
92,-0.022824239,-0.022275713
93,-0.022823578,-0.022274985
94,-0.022822869,-0.022274428
95,-0.022822208,-0.022273701
96,-0.022820449,-0.022276595
97,-0.022819788,-0.022275867
98,-0.022819079,-0.02227531
99,-0.022818418,-0.022274582
100,-0.022817771,-0.022273688
101,-0.02281711,-0.02227296
102,-0.022816401,-0.022272403
103,-0.022815739,-0.022271675
104,-0.022814937,-0.022270797
105,-0.022814276,-0.022270069
106,-0.022813567,-0.022269512
107,-0.022812906,-0.022268784
108,-0.022812259,-0.02226789
109,-0.022811598,-0.022267162
110,-0.022810889,-0.022266605
111,-0.022810228,-0.022265877
112,-0.022810615,-0.022266343
113,-0.022809953,-0.022265615
114,-0.022809245,-0.022265058
115,-0.022808583,-0.02226433
116,-0.022807937,-0.022263436
117,-0.022807275,-0.022262708
118,-0.022806566,-0.022262151
119,-0.022805905,-0.022261423
120,-0.022805103,-0.022260545
121,-0.022804442,-0.022259817
122,-0.022803733,-0.02225926
123,-0.022803071,-0.022258533
124,-0.022802425,-0.022257638
125,-0.022801763,-0.02225691
126,-0.022801055,-0.022256353
127,-0.022800393,-0.022255626
128,-0.022800262,-0.022255762
129,-0.022799601,-0.022255035
130,-0.022798892,-0.022254477
131,-0.02279823,-0.02225375
132,-0.022797584,-0.022252855
133,-0.022796923,-0.022252128
134,-0.022796214,-0.022251571
135,-0.022795552,-0.022250843
136,-0.02279475,-0.022249964
137,-0.022794089,-0.022249237
138,-0.02279338,-0.02224868
