code,MC1_seed=1,MC1_seed=2
0,-0.019736206,-0.019466165
1,-0.019084771,-0.018852509
2,-0.018470035,-0.018227999
3,-0.017818599,-0.017614343
4,-0.017201263,-0.016957014
5,-0.016549828,-0.016343358
6,-0.015935091,-0.015718848
7,-0.015283656,-0.015105192
8,-0.014751685,-0.014542582
9,-0.014100249,-0.013928925
10,-0.013485513,-0.013304416
11,-0.012834078,-0.012690759
12,-0.012216742,-0.012033431
13,-0.011565306,-0.011419774
14,-0.01095057,-0.010795265
15,-0.010299135,-0.010181608
16,-0.009786994,-0.009565469
17,-0.009135559,-0.008951812
18,-0.008520823,-0.008327303
19,-0.007869387,-0.007713646
20,-0.007252051,-0.007056318
21,-0.006600616,-0.006442661
22,-0.005985879,-0.005818152
23,-0.005334444,-0.005204495
24,-0.004802473,-0.004641885
25,-0.004151037,-0.004028228
26,-0.003536301,-0.003403719
27,-0.002884866,-0.002790063
28,-0.00226753,-0.002132734
29,-0.001616094,-0.001519078
30,-0.001001358,-0.000894568
31,-0.000349922,-0.000280912
32,0.000654923,0.000369032
33,0.001306358,0.000982689
34,0.001921094,0.001607198
35,0.00257253,0.002220855
36,0.003189866,0.002878183
37,0.003841302,0.003491839
38,0.004456038,0.004116349
39,0.005107473,0.004730005
40,0.005639444,0.005292616
41,0.00629088,0.005906272
42,0.006905616,0.006530782
43,0.007557051,0.007144438
44,0.008174387,0.007801766
45,0.008825823,0.008415423
46,0.009440559,0.009039932
47,0.010091995,0.009653589
48,0.010604135,0.010269728775043317
49,0.011255570391565106,0.010883385333186476
50,0.011870306595062042,0.011507895
51,0.012521742029713347,0.012121551266227772
52,0.013139078225115144,0.012778879567334074
53,0.013790513660305648,0.013392536125336144
54,0.014405249862253939,0.014017045501046852
55,0.015056685297465067,0.014630702058976128
56,0.015588656347846716,0.015193312
57,0.016240092,0.015806968864028922
58,0.016854827983893445,0.016431478237765584
59,0.017506263419470706,0.017045135
60,0.018123599615476813,0.017702463092943398
61,0.018775035051593246,0.018316119648162488
62,0.019389771250529358,0.018940629022643905
63,0.020041207,0.019554285577790063
