code,MC_seed=1,MC_seed=2
0,-0.0005682935171991136,-0.0006578908565204958
1,-0.0005671527184333721,-0.0006566522422261063
2,-0.0005663286316373855,-0.0006550098877094673
3,-0.0005651878328707199,-0.000653771273415145
4,-0.0005642112099177413,-0.0006526998065593829
5,-0.0005630704111495704,-0.0006514611922639694
6,-0.0005622463243544223,-0.0006498188377486873
7,-0.0005611055255853286,-0.0006485802234533413
8,-0.0005590086291012378,-0.0006480225317528428
9,-0.0005578678303307457,-0.0006467839174584984
10,-0.000557043743537208,-0.0006451415629471179
11,-0.000555902944765794,-0.0006439029486528405
12,-0.0005549263218109435,-0.0006428314817921003
13,-0.0005537855230380227,-0.0006415928674967336
14,-0.0005529614362453246,-0.0006399505129867091
15,-0.0005518206374714824,-0.00063871189869141
16,-0.0005499029957440472,-0.000637097008264587
17,-0.0005487621969695541,-0.0006358583939660316
18,-0.0005479381101788631,-0.0006342160394547249
19,-0.0005467973114034454,-0.0006329774251562355
20,-0.000545820688447317,-0.0006319059582862729
21,-0.0005446798896703938,-0.0006306673439866955
22,-0.0005438558028805442,-0.000629024989476747
23,-0.0005427150041026983,-0.0006277863751772377
24,-0.0005406181076235151,-0.0006272286834978457
25,-0.0005394773088442744,-0.0006259900691993399
26,-0.0005386532220560348,-0.0006243477146932937
27,-0.0005375124232758696,-0.0006231091003948545
28,-0.0005365358003178727,-0.0006220376335199149
29,-0.000535395001536202,-0.000620799019220387
30,-0.0005345709147488042,-0.0006191566647156998
31,-0.0005334301159662112,-0.0006179180504162397
32,-0.0005328899799929573,-0.0006164896539804654
33,-0.0005317491812134387,-0.0006152510396803406
34,-0.000530925094429905,-0.0006136086851777473
35,-0.0005297842956494644,-0.0006123700708776929
36,-0.000528807672693117,-0.0006112986039959001
37,-0.00052766687391117,-0.0006100599896947541
38,-0.0005268427871284779,-0.0006084176351935231
39,-0.0005257019883456081,-0.0006071790208924473
40,-0.0005236050918766026,-0.0006066213292351599
41,-0.0005224642930923361,-0.0006053827149350879
42,-0.0005216402063112565,-0.0006037403604377599
43,-0.0005204994075260689,-0.0006025017461377567
44,-0.0005195227845678555,-0.000601430279250989
45,-0.000518381985781163,-0.000600191664949897
46,-0.0005175578990009247,-0.0005985493104539324
47,-0.0005164171002133098,-0.000597310696152909
48,-0.0005144994585208884,-0.0005956958056283888
49,-0.0005133586597326241,-0.0005944571913241097
50,-0.0005125345729543952,-0.000592814836826864
51,-0.000511393774165209,-0.0005915762225226569
52,-0.0005104171512057219,-0.0005905047556266735
53,-0.0005092763524150313,-0.0005892661413213761
54,-0.0005084522656376428,-0.0005876237868254932
55,-0.0005073114668460309,-0.0005863851725202679
56,-0.0005052145703819487,-0.0005858274808840942
57,-0.0005040737715889412,-0.00058458886657987
58,-0.0005032496848131674,-0.0005829465120878953
59,-0.0005021088860192378,-0.000581707897783741
