,vout (V),,
code,nominal,seed=1,seed=2
0,-9.402550314,-8.086038927,-9.094373448
1,-9.402263367,-8.085817781,-9.094097419
2,-9.40197642,-8.085449499,-9.093733608
3,-9.401689472,-8.085228354,-9.093457579
4,-9.401402525,-8.085155044,-9.093367538
5,-9.401115578,-8.084933898,-9.09309151
6,-9.40082863,-8.084565616,-9.092727617
7,-9.400541683,-8.08434447,-9.09245167
8,-9.400254736,-8.084044759,-9.09213995
9,-9.399967788,-8.083823613,-9.091863921
10,-9.399680841,-8.083455331,-9.09150011
11,-9.399393894,-8.083234186,-9.091224081
12,-9.399106946,-8.083160876,-9.091134041
13,-9.398819999,-8.08293973,-9.090858012
14,-9.398533052,-8.082571448,-9.09049412
15,-9.398246104,-8.082350302,-9.090218172
16,-9.397959157,-8.081979172,-9.089879381
17,-9.39767221,-8.081758026,-9.089603352
18,-9.397385262,-8.081389744,-9.089239541
19,-9.397098315,-8.081168598,-9.088963513
20,-9.396811368,-8.081095288,-9.088873472
21,-9.39652442,-8.080874142,-9.088597443
22,-9.396237473,-8.08050586,-9.088233551
23,-9.395950526,-8.080284715,-9.087957604
24,-9.395663578,-8.079985004,-9.087645883
25,-9.395376631,-8.079763858,-9.087369854
26,-9.395089684,-8.079395576,-9.087006044
27,-9.394802736,-8.07917443,-9.086730015
28,-9.394515789,-8.07910112,-9.086639974
29,-9.394228842,-8.078879974,-9.086363945
30,-9.393941894,-8.078511692,-9.086000053
31,-9.393654947,-8.078290547,-9.085724106
32,-9.393368,-8.077989413,-9.085453545
33,-9.393081052,-8.077768267,-9.085177517
34,-9.392794105,-8.077399985,-9.084813706
35,-9.392507158,-8.077178839,-9.084537677
36,-9.39222021,-8.077105529,-9.084447636
37,-9.391933263,-8.076884384,-9.084171608
38,-9.391646316,-8.076516102,-9.083807715
39,-9.391359368,-8.076294956,-9.083531768
40,-9.391072421,-8.075995245,-9.083220048
41,-9.390785474,-8.075774099,-9.082944019
42,-9.390498526,-8.075405817,-9.082580208
43,-9.390211579,-8.075184671,-9.082304179
44,-9.389924632,-8.075111362,-9.082214138
45,-9.389637684,-8.074890216,-9.08193811
46,-9.389350737,-8.074521934,-9.081574218
47,-9.389063789,-8.074300788,-9.08129827
48,-9.388776842,-8.073929657,-9.080959479
49,-9.388489895,-8.073708511,-9.08068345
50,-9.388202947,-8.073340229,-9.080319639
51,-9.387916,-8.073119084,-9.080043611
52,-9.387629053,-8.073045774,-9.07995357
53,-9.387342105,-8.072824628,-9.079677541
54,-9.387055158,-8.072456346,-9.079313649
55,-9.386768211,-8.0722352,-9.079037701
56,-9.386481263,-8.071935489,-9.078725981
57,-9.386194316,-8.071714344,-9.078449952
58,-9.385907369,-8.071346062,-9.078086141
59,-9.385620421,-8.071124916,-9.077810113
60,-9.385333474,-8.071051606,-9.077720072
61,-9.385046527,-8.07083046,-9.077444043
62,-9.384759579,-8.070462178,-9.077080151
63,-9.384472632,-8.070241032,-9.076804204
64,-9.384185685,-8.069939569,-9.076113695
65,-9.383898737,-8.069718423,-9.075837666
66,-9.38361179,-8.069350141,-9.075473855
67,-9.383324843,-8.069128996,-9.075197826
68,-9.383037895,-8.069055686,-9.075107786
69,-9.382750948,-8.06883454,-9.074831757
70,-9.382464001,-8.068466258,-9.074467865
71,-9.382177053,-8.068245112,-9.074191917
72,-9.381890106,-8.067945401,-9.073880197
73,-9.381603159,-8.067724255,-9.073604168
74,-9.381316211,-8.067355973,-9.073240357
75,-9.381029264,-8.067134828,-9.072964328
76,-9.380742317,-8.067061518,-9.072874288
77,-9.380455369,-8.066840372,-9.072598259
78,-9.380168422,-8.06647209,-9.072234367
79,-9.379881475,-8.066250944,-9.071958419
80,-9.379594527,-8.065879813,-9.071619628
81,-9.37930758,-8.065658668,-9.071343599
82,-9.379020633,-8.065290386,-9.070979789
83,-9.378733685,-8.06506924,-9.07070376
84,-9.378446738,-8.06499593,-9.070613719
85,-9.378159791,-8.064774784,-9.07033769
86,-9.377872843,-8.064406502,-9.069973798
87,-9.377585896,-8.064185356,-9.069697851
88,-9.377298949,-8.063885646,-9.06938613
89,-9.377012001,-8.0636645,-9.069110101
90,-9.376725054,-8.063296218,-9.068746291
91,-9.376438107,-8.063075072,-9.068470262
92,-9.376151159,-8.063001762,-9.068380221
93,-9.375864212,-8.062780616,-9.068104192
94,-9.375577265,-8.062412334,-9.0677403
95,-9.375290317,-8.062191188,-9.067464353
96,-9.37500337,-8.061890055,-9.067193793
97,-9.374716423,-8.061668909,-9.066917764
98,-9.374429475,-8.061300627,-9.066553953
99,-9.374142528,-8.061079481,-9.066277924
100,-9.37385558,-8.061006171,-9.066187883
101,-9.373568633,-8.060785026,-9.065911855
102,-9.373281686,-8.060416744,-9.065547963
103,-9.372994738,-8.060195598,-9.065272015
104,-9.372707791,-8.059895887,-9.064960295
105,-9.372420844,-8.059674741,-9.064684266
106,-9.372133896,-8.059306459,-9.064320455
107,-9.371846949,-8.059085313,-9.064044426
108,-9.371560002,-8.059012003,-9.063954386
109,-9.371273054,-8.058790858,-9.063678357
110,-9.370986107,-8.058422576,-9.063314465
111,-9.37069916,-8.05820143,-9.063038517
112,-9.370412212,-8.057830299,-9.062699726
113,-9.370125265,-8.057609153,-9.062423697
114,-9.369838318,-8.057240871,-9.062059886
115,-9.36955137,-8.057019726,-9.061783858
116,-9.369264423,-8.056946416,-9.061693817
117,-9.368977476,-8.05672527,-9.061417788
118,-9.368690528,-8.056356988,-9.061053896
119,-9.368403581,-8.056135842,-9.060777948
120,-9.368116634,-8.055836131,-9.060466228
121,-9.367829686,-8.055614985,-9.060190199
122,-9.367542739,-8.055246703,-9.059826389
123,-9.367255792,-8.055025558,-9.05955036
124,-9.366968844,-8.054952248,-9.059460319
125,-9.366681897,-8.054731102,-9.05918429
126,-9.36639495,-8.05436282,-9.058820398
127,-9.366108002,-8.054141674,-9.058544451
128,-9.365821055,-8.054871359,-9.059451841
