 1.50000000e+00 -5.28967841e-03  1.50000000e+00 -5.98710128e-03 
 1.50000000e+00 -5.27989130e-03  1.50000000e+00 -5.97680012e-03 
 1.50000000e+00 -5.26710218e-03  1.50000000e+00 -5.96402281e-03 
 1.50000000e+00 -5.25731508e-03  1.50000000e+00 -5.95372165e-03 
 1.50000000e+00 -5.25052041e-03  1.50000000e+00 -5.93863573e-03 
 1.50000000e+00 -5.24073331e-03  1.50000000e+00 -5.92833456e-03 
 1.50000000e+00 -5.22794419e-03  1.50000000e+00 -5.91555725e-03 
 1.50000000e+00 -5.21815708e-03  1.50000000e+00 -5.90525609e-03 
 1.50000000e+00 -5.20659547e-03  1.50000000e+00 -5.89515685e-03 
 1.50000000e+00 -5.19680836e-03  1.50000000e+00 -5.88485569e-03 
 1.50000000e+00 -5.18401925e-03  1.50000000e+00 -5.87207837e-03 
 1.50000000e+00 -5.17423214e-03  1.50000000e+00 -5.86177721e-03 
 1.50000000e+00 -5.16743748e-03  1.50000000e+00 -5.84669129e-03 
 1.50000000e+00 -5.15765037e-03  1.50000000e+00 -5.83639013e-03 
 1.50000000e+00 -5.14486125e-03  1.50000000e+00 -5.82361281e-03 
 1.50000000e+00 -5.13507415e-03  1.50000000e+00 -5.81331165e-03 
 1.50000000e+00 -5.12202630e-03  1.50000000e+00 -5.80395335e-03 
 1.50000000e+00 -5.11223920e-03  1.50000000e+00 -5.79365219e-03 
 1.50000000e+00 -5.09945008e-03  1.50000000e+00 -5.78087488e-03 
 1.50000000e+00 -5.08966297e-03  1.50000000e+00 -5.77057372e-03 
 1.50000000e+00 -5.08286831e-03  1.50000000e+00 -5.75548779e-03 
 1.50000000e+00 -5.07308120e-03  1.50000000e+00 -5.74518663e-03 
 1.50000000e+00 -5.06029209e-03  1.50000000e+00 -5.73240932e-03 
 1.50000000e+00 -5.05050498e-03  1.50000000e+00 -5.72210816e-03 
 1.50000000e+00 -5.03894337e-03  1.50000000e+00 -5.71200891e-03 
 1.50000000e+00 -5.02915626e-03  1.50000000e+00 -5.70170775e-03 
 1.50000000e+00 -5.01636714e-03  1.50000000e+00 -5.68893044e-03 
 1.50000000e+00 -5.00658004e-03  1.50000000e+00 -5.67862928e-03 
 1.50000000e+00 -4.99978537e-03  1.50000000e+00 -5.66354336e-03 
 1.50000000e+00 -4.98999827e-03  1.50000000e+00 -5.65324219e-03 
 1.50000000e+00 -4.97720915e-03  1.50000000e+00 -5.64046488e-03 
 1.50000000e+00 -4.96742204e-03  1.50000000e+00 -5.63016372e-03 
 1.50000000e+00 -4.95586194e-03  1.50000000e+00 -5.60653298e-03 
 1.50000000e+00 -4.94607483e-03  1.50000000e+00 -5.59623182e-03 
 1.50000000e+00 -4.93328572e-03  1.50000000e+00 -5.58345451e-03 
 1.50000000e+00 -4.92349861e-03  1.50000000e+00 -5.57315335e-03 
 1.50000000e+00 -4.91670395e-03  1.50000000e+00 -5.55806742e-03 
 1.50000000e+00 -4.90691684e-03  1.50000000e+00 -5.54776626e-03 
 1.50000000e+00 -4.89412772e-03  1.50000000e+00 -5.53498895e-03 
 1.50000000e+00 -4.88434061e-03  1.50000000e+00 -5.52468779e-03 
 1.50000000e+00 -4.87277900e-03  1.50000000e+00 -5.51458855e-03 
 1.50000000e+00 -4.86299190e-03  1.50000000e+00 -5.50428739e-03 
 1.50000000e+00 -4.85020278e-03  1.50000000e+00 -5.49151007e-03 
 1.50000000e+00 -4.84041567e-03  1.50000000e+00 -5.48120891e-03 
 1.50000000e+00 -4.83362101e-03  1.50000000e+00 -5.46612299e-03 
 1.50000000e+00 -4.82383390e-03  1.50000000e+00 -5.45582183e-03 
 1.50000000e+00 -4.81104479e-03  1.50000000e+00 -5.44304451e-03 
 1.50000000e+00 -4.80125768e-03  1.50000000e+00 -5.43274335e-03 
 1.50000000e+00 -4.78820984e-03  1.50000000e+00 -5.42338505e-03 
 1.50000000e+00 -4.77842273e-03  1.50000000e+00 -5.41308389e-03 
 1.50000000e+00 -4.76563361e-03  1.50000000e+00 -5.40030658e-03 
 1.50000000e+00 -4.75584651e-03  1.50000000e+00 -5.39000542e-03 
 1.50000000e+00 -4.74905184e-03  1.50000000e+00 -5.37491949e-03 
 1.50000000e+00 -4.73926474e-03  1.50000000e+00 -5.36461833e-03 
 1.50000000e+00 -4.72647562e-03  1.50000000e+00 -5.35184102e-03 
 1.50000000e+00 -4.71668851e-03  1.50000000e+00 -5.34153986e-03 
 1.50000000e+00 -4.70512690e-03  1.50000000e+00 -5.33144061e-03 
 1.50000000e+00 -4.69533979e-03  1.50000000e+00 -5.32113945e-03 
 1.50000000e+00 -4.68255068e-03  1.50000000e+00 -5.30836214e-03 
 1.50000000e+00 -4.67276357e-03  1.50000000e+00 -5.29806098e-03 
 1.50000000e+00 -4.66596891e-03  1.50000000e+00 -5.28297505e-03 
 1.50000000e+00 -4.65618180e-03  1.50000000e+00 -5.27267389e-03 
 1.50000000e+00 -4.64339268e-03  1.50000000e+00 -5.25989658e-03 
 1.50000000e+00 -4.63360558e-03  1.50000000e+00 -5.24959542e-03 
 1.50000000e+00 -4.62197830e-03  1.50000000e+00 -5.24189422e-03 
 1.50000000e+00 -4.61219119e-03  1.50000000e+00 -5.23159306e-03 
 1.50000000e+00 -4.59940207e-03  1.50000000e+00 -5.21881575e-03 
 1.50000000e+00 -4.58961497e-03  1.50000000e+00 -5.20851459e-03 
 1.50000000e+00 -4.58282030e-03  1.50000000e+00 -5.19342866e-03 
 1.50000000e+00 -4.57303320e-03  1.50000000e+00 -5.18312750e-03 
 1.50000000e+00 -4.56024408e-03  1.50000000e+00 -5.17035019e-03 
 1.50000000e+00 -4.55045697e-03  1.50000000e+00 -5.16004903e-03 
 1.50000000e+00 -4.53889536e-03  1.50000000e+00 -5.14994979e-03 
 1.50000000e+00 -4.52910825e-03  1.50000000e+00 -5.13964862e-03 
 1.50000000e+00 -4.51631914e-03  1.50000000e+00 -5.12687131e-03 
 1.50000000e+00 -4.50653203e-03  1.50000000e+00 -5.11657015e-03 
 1.50000000e+00 -4.49973737e-03  1.50000000e+00 -5.10148423e-03 
 1.50000000e+00 -4.48995026e-03  1.50000000e+00 -5.09118306e-03 
 1.50000000e+00 -4.47716114e-03  1.50000000e+00 -5.07840575e-03 
 1.50000000e+00 -4.46737404e-03  1.50000000e+00 -5.06810459e-03 
 1.50000000e+00 -4.45432619e-03  1.50000000e+00 -5.05874629e-03 
 1.50000000e+00 -4.44453909e-03  1.50000000e+00 -5.04844513e-03 
 1.50000000e+00 -4.43174997e-03  1.50000000e+00 -5.03566782e-03 
 1.50000000e+00 -4.42196286e-03  1.50000000e+00 -5.02536665e-03 
 1.50000000e+00 -4.41516820e-03  1.50000000e+00 -5.01028073e-03 
 1.50000000e+00 -4.40538109e-03  1.50000000e+00 -4.99997957e-03 
